City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Taoudenni,22.68,-3.98,91.6,11,0,9.4,ML,1593574211
San Patricio,19.22,-104.7,80.2,80,94,6.6,MX,1593574211
Taltal,-25.4,-70.48,59.47,58,0,6.73,CL,1593574211
Vardø,70.37,31.11,46.4,93,75,13.87,NO,1593574212
Castlegar,49.3,-117.67,57.0,89,69,13.0,CA,1593574212
Rurrenabaque,-14.44,-67.53,70.93,87,38,0.85,BO,1593574212
Hobart,-42.88,147.33,57.2,62,20,11.41,AU,1593574148
Havre-St-Pierre,50.23,-63.6,59.0,93,1,4.7,CA,1593574212
Punta Arenas,-53.15,-70.92,23.0,92,2,2.24,CL,1593574212
Rabo de Peixe,37.8,-25.58,66.99,88,75,3.36,PT,1593574212
Hofn,64.25,-15.21,43.57,78,56,2.64,IS,1593574212
Belaya Gora,68.53,146.42,65.68,30,55,7.02,RU,1593574212
Buchanan,5.88,-10.05,75.2,94,75,6.51,LR,1593574212
Bellefontaine,40.36,-83.76,75.2,64,1,6.93,US,1593574212
Lüderitz,-26.65,15.16,59.0,24,0,6.93,NA,1593574212
Tambura,5.6,27.47,66.96,98,59,1.92,SS,1593574212
Nishihara,26.18,127.76,84.2,83,90,16.11,JP,1593574213
Port Hardy,50.7,-127.42,57.2,76,75,11.41,CA,1593574206
Port Shepstone,-30.74,30.45,58.82,82,8,10.54,ZA,1593574213
Sijunjung,-0.69,100.95,88.54,50,71,1.16,ID,1593574213
Ilulissat,69.22,-51.1,42.8,75,100,1.12,GL,1593574213
Kindu,-2.95,25.95,68.47,96,52,2.73,CD,1593574213
Yamada,39.47,141.95,75.02,78,100,3.89,JP,1593574213
Gladstone,-23.85,151.25,73.4,56,40,13.87,AU,1593574213
Qingdao,36.1,120.37,87.01,51,40,6.71,CN,1593574213
Zermatt,46.02,7.75,62.6,93,20,13.87,CH,1593574213
New Norfolk,-42.78,147.06,53.01,77,19,3.91,AU,1593574213
George Town,5.41,100.34,87.8,74,20,5.82,MY,1593574214
Tasiilaq,65.61,-37.64,44.6,52,100,12.75,GL,1593574214
Niterói,-22.88,-43.1,77.0,69,99,16.11,BR,1593574214
Mackay,-21.15,149.2,73.4,73,40,13.87,AU,1593574214
Sistranda,63.73,8.83,46.4,75,40,8.05,NO,1593574214
Papara,-3.98,-38.73,78.8,78,40,2.24,BR,1593574214
Tuktoyaktuk,69.45,-133.04,48.2,87,90,18.34,CA,1593574214
San Quintín,30.48,-115.95,62.08,84,0,8.57,MX,1593574214
Limbang,4.75,115.0,89.6,66,75,4.7,MY,1593574214
Santiago de Cuba,20.02,-75.82,75.2,94,20,5.82,CU,1593574214
Mogila,41.11,21.38,65.86,75,0,1.74,MK,1593574214
Kodinsk,58.69,99.18,83.55,35,15,5.88,RU,1593574214
Iqaluit,63.75,-68.51,39.2,80,20,2.39,CA,1593574214
Onguday,50.75,86.15,67.84,56,95,1.99,RU,1593574215
Samarai,-10.62,150.67,78.35,84,95,18.37,PG,1593574215
Jega,12.22,4.38,78.64,74,97,8.21,NG,1593574215
Daru,-9.08,143.21,79.47,79,79,14.54,PG,1593574215
Batemans Bay,-35.72,150.18,70.0,41,42,1.01,AU,1593574215
Mar del Plata,-38.0,-57.56,48.99,70,90,20.8,AR,1593574215
Lata,40.16,-8.33,64.0,92,100,3.0,PT,1593574215
Sola,-13.88,167.55,77.23,80,99,26.78,VU,1593574215
Dangtu,31.57,118.49,82.4,69,75,6.71,CN,1593574215
Kryve Ozero,47.95,30.35,64.87,81,0,6.73,UA,1593574216
West Wendover,40.74,-114.07,66.2,42,1,13.87,US,1593574216
Karratha,-20.74,116.85,84.6,26,64,11.39,AU,1593574216
Syamzha,60.02,41.06,52.52,98,100,9.13,RU,1593574216
Wanaka,-44.7,169.15,37.11,78,2,3.91,NZ,1593574216
Trairi,-3.28,-39.27,74.48,90,0,7.07,BR,1593574216
Atherton,53.52,-2.49,55.99,92,93,1.01,GB,1593574216
Ostrovnoy,68.05,39.51,57.04,67,100,20.31,RU,1593574216
Mamit,23.93,92.48,80.6,83,75,6.93,IN,1593574216
Kahului,20.89,-156.47,87.8,48,20,17.22,US,1593574216
Hamilton,39.18,-84.53,75.0,94,1,2.62,US,1593574217
Saldanha,-33.01,17.94,48.2,87,0,5.82,ZA,1593574217
Rocha,-34.48,-54.33,52.07,90,100,33.69,UY,1593574046
Víctor Rosales,22.95,-102.7,68.0,68,75,6.93,MX,1593574217
Burnie,-41.07,145.92,54.0,77,33,13.0,AU,1593574217
Bull Savanna,17.89,-77.59,76.28,84,100,6.51,JM,1593574217
Anadyr,64.75,177.48,44.6,100,75,4.21,RU,1593574217
Chiang Klang,19.29,100.86,84.2,79,75,8.05,TH,1593574217
Chicama,-7.84,-79.15,62.51,83,34,4.5,PE,1593574217
Necochea,-38.55,-58.74,46.0,78,89,10.0,AR,1593574217
Leningradskiy,69.38,178.42,36.1,95,95,5.53,RU,1593574217
Valparaíso,-33.04,-71.63,51.8,93,95,2.24,CL,1593574045
Pochutla,15.74,-96.47,77.0,92,100,3.69,MX,1593574218
Santa Rosalía,27.32,-112.28,84.38,49,14,12.19,MX,1593574218
Örnsköldsvik,63.29,18.72,48.2,70,100,12.75,SE,1593574069
Filiatrá,37.15,21.58,75.0,82,0,5.95,GR,1593574218
Moctezuma,29.8,-109.67,84.58,35,67,7.76,MX,1593574218
Bealanana,-14.55,48.73,52.83,62,0,3.42,MG,1593574218
Bonavista,48.65,-53.11,58.75,94,41,16.69,CA,1593574218
Ponta Delgada,37.73,-25.67,66.99,88,75,3.36,PT,1593574219
Puerto Armuelles,8.28,-82.87,68.0,71,100,8.01,PA,1593574219
Teavaro,-17.5,-149.77,80.6,54,20,14.99,PF,1593574219
Kungsbacka,57.49,12.08,60.01,87,90,16.11,SE,1593574219
Road Town,18.42,-64.62,82.99,84,37,13.0,VG,1593574219
Mareeba,-17.0,145.43,71.6,94,90,14.99,AU,1593574219
Sibolga,1.74,98.78,86.77,63,74,3.83,ID,1593574219
Kathu,7.92,98.33,86.0,74,40,4.7,TH,1593574219
Cherskiy,68.75,161.3,55.85,52,72,19.26,RU,1593574220
Kachug,53.96,105.88,84.96,35,9,3.74,RU,1593574220
Zhangye,38.93,100.45,83.21,15,0,4.14,CN,1593574220
San Cristobal,7.77,-72.22,65.64,83,15,2.26,VE,1593574142
Kumluca,36.37,30.29,83.5,35,0,6.44,TR,1593574220
Kautokeino,69.01,23.04,40.71,91,100,17.38,NO,1593574220
Bekwai,6.45,-1.58,69.82,98,100,2.68,GH,1593574220
Nouakchott,18.09,-15.98,74.25,85,0,8.68,MR,1593573922
Los Llanos de Aridane,28.66,-17.92,69.8,88,90,13.87,ES,1593574221
Acapulco de Juárez,16.86,-99.89,81.45,71,91,3.27,MX,1593574221
Hithadhoo,-0.6,73.08,83.93,64,86,2.15,MV,1593574221
Fairbanks,64.84,-147.72,54.0,71,75,8.19,US,1593574221
Nchelenge,-9.35,28.73,69.6,60,96,7.87,ZM,1593574221
Laguna,38.42,-121.42,86.0,28,1,6.93,US,1593574221
Langsa,4.47,97.97,88.79,59,100,1.81,ID,1593574221
Biak,-0.91,122.88,76.78,86,100,4.21,ID,1593574221
Jørpeland,59.02,6.04,57.2,71,75,10.29,NO,1593574200
Aykhal,66.0,111.5,75.2,50,97,8.95,RU,1593574222
La Ronge,55.1,-105.28,57.2,93,90,8.05,CA,1593574222
Pangnirtung,66.15,-65.71,44.94,62,27,2.13,CA,1593574222
Meulaboh,4.14,96.13,85.53,66,68,1.14,ID,1593574222
Nichinan,31.6,131.37,84.2,54,20,17.22,JP,1593574222
Kulhudhuffushi,6.62,73.07,83.17,77,88,11.12,MV,1593574222
Obo,5.4,26.49,65.91,97,97,1.28,CF,1593574222
Anloga,5.79,0.9,77.0,88,40,5.82,GH,1593574222
Saint-Augustin,51.23,-58.65,66.25,74,0,12.46,CA,1593574222
Sibu,2.3,111.82,86.0,74,40,3.36,MY,1593574223
Santa Cruz,30.42,-9.6,66.2,88,0,6.93,MA,1593574223
Isangel,-19.55,169.27,75.2,57,75,9.17,VU,1593574223
Lichtenburg,-26.15,26.16,43.03,89,1,9.51,ZA,1593574223
Shelburne,44.08,-80.2,66.99,82,1,2.24,CA,1593574223
Nabire,-3.37,135.48,83.01,76,92,1.95,ID,1593574223
Chippewa Falls,44.94,-91.39,80.6,69,1,6.93,US,1593574223
Bengkulu,-3.8,102.27,85.41,57,42,3.36,ID,1593574223
Caravelas,-17.71,-39.25,68.16,96,40,3.78,BR,1593574223
Porto-Novo,6.5,2.6,77.0,94,40,5.82,BJ,1593574223
Yulara,-25.24,130.99,75.2,17,81,5.82,AU,1593574223
Dzaoudzi,-12.79,45.27,78.8,74,20,24.16,YT,1593574223
Fallon,39.47,-118.78,82.4,14,20,5.82,US,1593574168
Mezen',65.85,44.24,58.3,61,61,15.41,RU,1593574223
Beringovskiy,63.05,179.32,41.07,96,100,5.21,RU,1593574224
Ponnāni,10.77,75.93,78.8,83,75,3.36,IN,1593574224
Taloda,21.57,74.22,88.47,62,40,7.16,IN,1593574224
Nemuro,43.32,145.57,71.6,78,75,6.93,JP,1593574224
Belgrade,44.8,20.47,66.2,72,0,3.36,RS,1593574224
Le Port,-20.94,55.29,66.2,68,0,8.05,RE,1593574224
Casma,-41.01,-73.12,50.0,87,100,14.99,CL,1593574224
Camacha,33.08,-16.33,68.0,88,40,10.29,PT,1593574224
Clyde River,70.47,-68.59,33.8,100,90,3.36,CA,1593574224
Collipulli,-37.95,-72.43,45.23,91,100,11.34,CL,1593574224
Paita,-5.09,-81.11,63.91,84,0,10.87,PE,1593574224
Nauta,-4.51,-73.58,72.19,96,0,0.63,PE,1593574224
Diego de Almagro,-26.37,-70.05,48.49,55,0,1.01,CL,1593574225
Ancud,-41.87,-73.82,50.0,93,90,14.99,CL,1593574225
Mossamedes,-15.2,12.15,67.91,74,0,6.13,AO,1593574225
Kuliyapitiya,7.47,80.04,84.2,89,40,11.41,LK,1593574225
Vestmanna,62.16,-7.17,42.8,81,97,8.05,FO,1593574225
Gualaquiza,-3.4,-78.55,61.56,90,32,1.32,EC,1593574225
Viedma,-40.81,-63.0,40.98,90,49,1.68,AR,1593574225
Novonukutskiy,53.7,102.71,84.16,44,40,2.26,RU,1593574225
Tawang Town,27.58,91.87,70.27,56,65,5.91,IN,1593574225
Nizwá,22.93,57.53,87.44,47,3,2.28,OM,1593574167
San Juan,-31.54,-68.54,42.3,64,26,2.68,AR,1593574056
Hünxe,51.65,6.78,64.0,96,100,4.0,DE,1593574226
São Gabriel da Cachoeira,-0.13,-67.09,72.54,95,15,1.12,BR,1593574227
Lufilufi,-13.87,-171.6,82.92,70,91,2.64,WS,1593574227
Solano,38.23,-121.95,84.2,39,1,19.46,US,1593574227
Van,38.49,43.38,55.4,93,40,7.87,TR,1593574227
Cap-aux-Meules,47.38,-61.86,59.0,93,90,3.36,CA,1593574227
Nantucket,41.28,-70.1,64.99,93,75,3.36,US,1593574227
Kushima,31.46,131.23,84.2,54,20,17.22,JP,1593574227
Touros,-5.2,-35.46,73.4,100,75,4.7,BR,1593574227
Coyhaique,-45.58,-72.07,37.4,87,90,3.36,CL,1593573965
Matara,5.95,80.54,84.65,72,68,10.33,LK,1593574227
Sioux Lookout,50.1,-91.92,73.4,88,40,3.36,CA,1593574227
Maridi,4.92,29.47,65.41,96,89,3.96,SS,1593574228
Mahdasht,35.73,50.81,66.2,32,0,6.93,IR,1593574228
Skjervøy,70.03,20.97,45.57,83,100,8.28,NO,1593574228
Tairua,-37.02,175.85,55.0,58,0,5.01,NZ,1593574228
Lebedinyy,58.52,125.52,76.93,40,8,11.83,RU,1593574228
Garoowe,8.41,48.48,79.84,58,99,28.43,SO,1593574228
Harper,4.38,-7.72,75.06,79,100,3.36,LR,1593574220
Itarema,-2.92,-39.92,74.7,86,0,9.06,BR,1593574228
Savinskiy,62.93,40.14,56.39,92,100,8.28,RU,1593574228
Syas'stroy,60.14,32.57,58.19,85,30,14.54,RU,1593574228
Saint-Pierre,-21.34,55.48,66.2,48,0,9.17,RE,1593574228
Pozo Colorado,-23.49,-58.8,57.02,59,78,8.99,PY,1593574228
Zákupy,50.68,14.65,60.01,80,0,3.96,CZ,1593574229
Orašac,44.63,16.07,65.66,70,0,2.91,BA,1593574229
Boa Vista,2.82,-60.67,78.8,83,75,4.23,BR,1593574229
Paine,-33.82,-70.75,48.2,81,75,9.17,CL,1593574229
Mondlo,-27.98,30.72,41.54,88,3,3.18,ZA,1593574229
Impfondo,1.64,18.07,69.46,92,99,1.61,CG,1593574229
Hervey Bay,-25.3,152.85,69.01,69,6,5.01,AU,1593574229
São João da Barra,-21.64,-41.05,68.7,85,4,10.45,BR,1593574229
Shimoda,34.67,138.95,75.2,100,75,25.28,JP,1593574229
Santa Rosa,14.31,121.11,91.99,59,75,0.54,PH,1593574229
Zhalantun,48.0,122.72,82.24,37,100,5.17,CN,1593574229
Bilma,18.69,12.92,84.81,13,0,6.89,NE,1593574230
Buraidah,26.33,43.98,80.6,34,0,3.36,SA,1593574230
Mayo,38.89,-76.51,77.0,78,90,6.93,US,1593574230
Okhotsk,59.38,143.3,56.48,67,79,8.52,RU,1593574230
Batagay-Alyta,67.8,130.41,78.06,33,51,10.58,RU,1593574230
Longyearbyen,78.22,15.64,44.6,56,100,11.41,SJ,1593574230
Pacifica,37.61,-122.49,59.0,82,20,17.22,US,1593574230
Gallup,35.53,-108.74,70.0,15,1,4.7,US,1593574230
Vostok,46.49,135.88,75.6,37,0,6.6,RU,1593574230
Barra,-11.09,-43.14,74.28,71,34,8.7,BR,1593574230
Lorengau,-2.02,147.27,85.48,67,65,6.71,PG,1593574230
Nanortalik,60.14,-45.24,40.15,87,84,6.91,GL,1593574231
